Site,Unique Visitors,Total Visits,Visits per Unique Visitor
facebook.com,"68,557,534","1,191,373,339",17.3777
myspace.com,"58,555,800","810,153,536",13.8356
twitter.com,"5,979,052","54,218,731",9.0681
fixter.com,"7,645,423","53,389,974",6.9833
linkedin.com,"11,274,160","42,744,438",3.7914
tagged.com,"4,448,915","39,630,927",8.9080
classmates.com,"17,296,524","35,219,210",2.0362
myyearbook.com,"3,312,898","33,121,821",9.9978
livejournal.com,"4,720,720","25,221,354",5.3427
imeem.com,"9,047,491","22,993,608",2.5414
reunion.com,"13,704,990","20,278,100",1.4796
ning.com,"5,673,549","19,511,682",3.4391
blackplanet.com,"1,530,329","10,173,342",6.6478
bebo.com,"2,997,929","9,849,137",3.2853
hi5.com,"2,398,323","9,416,265",3.9262
yuku.com,"1,317,551","9,358,966",7.1033
cafemom.com,"1,647,336","8,586,261",5.2122
friendster.com,"1,568,439","7,279,050",4.6410
xanga.com,"1,831,376","7,009,577",3.8275
360.yahoo.com,"1,499,057","5,199,702",3.4686
orkut.com,"494,464","5,081,235",10.2762
urbanchat.com,"329,041","2,961,250",8.9996
fubar.com,"452,090","2,170,315",4.8006
asiantown.net,"81,245","1,118,245",13.7639
tickle.com,"96,155","109,492",1.1387
