price,rating,reviews,room_type,accommodates,bedrooms,minimum_stay,neighborhood,district,walk_score,transit_score,bike_score
85,5,6,Private room,2,1,1,Albany Park,Far North,87,62,68
35,5,8,Private room,1,1,1,Albany Park,Far North,87,62,68
175,4.5,7,Entire home/apt,4,2,2,Albany Park,Far North,87,62,68
75,5,52,Private room,2,1,1,Albany Park,Far North,87,62,68
160,5,3,Entire home/apt,6,2,1,Albany Park,Far North,87,62,68
60,5,5,Private room,1,1,1,Albany Park,Far North,87,62,68
39,5,8,Private room,2,1,3,Albany Park,Far North,87,62,68
65,5,25,Private room,2,1,2,Albany Park,Far North,87,62,68
47,4.5,7,Private room,2,1,1,Albany Park,Far North,87,62,68
100,4.5,24,Entire home/apt,6,2,NA,Albany Park,Far North,87,62,68
150,4.5,8,Entire home/apt,6,2,5,Albany Park,Far North,87,62,68
38,5,3,Private room,1,1,10,Albany Park,Far North,87,62,68
87,5,10,Private room,4,1,2,Albany Park,Far North,87,62,68
39,5,15,Private room,3,1,1,Albany Park,Far North,87,62,68
73,5,3,Entire home/apt,4,2,2,Albany Park,Far North,87,62,68
150,5,6,Entire home/apt,6,3,2,Albany Park,Far North,87,62,68
48,5,5,Private room,2,1,1,Albany Park,Far North,87,62,68
84,5,18,Entire home/apt,4,0,NA,Albany Park,Far North,87,62,68
97,5,3,Entire home/apt,4,1,3,Albany Park,Far North,87,62,68
65,5,4,Private room,2,1,1,Albany Park,Far North,87,62,68
180,5,9,Entire home/apt,4,2,1,Albany Park,Far North,87,62,68
149,5,13,Entire home/apt,6,2,5,Albany Park,Far North,87,62,68
89,5,22,Private room,2,1,1,Albany Park,Far North,87,62,68
150,4.5,20,Entire home/apt,8,3,NA,Albany Park,Far North,87,62,68
106,4,40,Entire home/apt,4,1,2,Albany Park,Far North,87,62,68
50,5,4,Private room,2,1,NA,Albany Park,Far North,87,62,68
75,4.5,45,Private room,2,1,1,Albany Park,Far North,87,62,68
79,4.5,47,Entire home/apt,4,2,1,Albany Park,Far North,87,62,68
45,5,13,Private room,1,1,1,Albany Park,Far North,87,62,68
66,5,5,Private room,2,1,1,Albany Park,Far North,87,62,68
35,5,8,Private room,2,1,1,Albany Park,Far North,87,62,68
40,5,15,Private room,2,1,2,Albany Park,Far North,87,62,68
85,5,37,Entire home/apt,2,1,3,Albany Park,Far North,87,62,68
50,5,16,Private room,2,1,1,Albany Park,Far North,87,62,68
37,4.5,14,Private room,2,1,3,Albany Park,Far North,87,62,68
75,4.5,80,Private room,2,1,1,Albany Park,Far North,87,62,68
60,5,10,Private room,2,1,2,Albany Park,Far North,87,62,68
100,4.5,10,Entire home/apt,5,2,3,Albany Park,Far North,87,62,68
150,4.5,19,Entire home/apt,6,3,1,Albany Park,Far North,87,62,68
39,5,21,Private room,4,1,1,Albany Park,Far North,87,62,68
94,5,52,Entire home/apt,4,2,1,Albany Park,Far North,87,62,68
89,5,9,Entire home/apt,4,1,NA,Albany Park,Far North,87,62,68
49,4.5,4,Private room,8,1,1,Albany Park,Far North,87,62,68
114,4.5,45,Entire home/apt,4,2,1,Albany Park,Far North,87,62,68
40,4.5,9,Private room,2,1,1,Albany Park,Far North,87,62,68
80,4.5,14,Private room,4,1,1,Albany Park,Far North,87,62,68
95,5,5,Entire home/apt,5,2,2,Albany Park,Far North,87,62,68
87,5,16,Entire home/apt,2,0,1,Albany Park,Far North,87,62,68
100,5,33,Entire home/apt,2,1,3,Albany Park,Far North,87,62,68
250,5,4,Entire home/apt,7,4,1,Albany Park,Far North,87,62,68
70,4,4,Private room,2,1,1,Albany Park,Far North,87,62,68
106,3.5,3,Entire home/apt,6,2,1,Avondale,North,84,68,77
275,5,9,Entire home/apt,6,3,NA,Avondale,North,84,68,77
85,5,51,Private room,2,1,NA,Avondale,North,84,68,77
70,5,3,Private room,4,1,1,Avondale,North,84,68,77
89,5,23,Entire home/apt,2,1,1,Avondale,North,84,68,77
100,5,6,Entire home/apt,5,2,2,Avondale,North,84,68,77
69,4.5,46,Entire home/apt,4,1,1,Avondale,North,84,68,77
105,5,59,Entire home/apt,4,1,3,Avondale,North,84,68,77
399,4.5,27,Entire home/apt,8,3,2,Avondale,North,84,68,77
35,4.5,31,Shared room,2,1,1,Avondale,North,84,68,77
110,5,46,Private room,2,1,1,Avondale,North,84,68,77
79,5,58,Entire home/apt,2,0,1,Avondale,North,84,68,77
177,5,44,Entire home/apt,8,2,NA,Avondale,North,84,68,77
78,5,4,Entire home/apt,3,1,1,Avondale,North,84,68,77
150,5,4,Entire home/apt,4,2,1,Avondale,North,84,68,77
110,4.5,22,Entire home/apt,2,1,7,Avondale,North,84,68,77
70,5,4,Private room,2,1,1,Avondale,North,84,68,77
75,4.5,59,Entire home/apt,4,2,2,Avondale,North,84,68,77
35,4.5,10,Private room,2,1,1,Avondale,North,84,68,77
500,5,3,Entire home/apt,6,3,1,Avondale,North,84,68,77
90,4.5,15,Private room,2,1,1,Avondale,North,84,68,77
145,5,18,Entire home/apt,6,2,3,Avondale,North,84,68,77
80,5,43,Private room,2,1,NA,Avondale,North,84,68,77
44,4.5,3,Private room,2,1,1,Avondale,North,84,68,77
115,5,29,Entire home/apt,8,2,2,Avondale,North,84,68,77
75,5,3,Entire home/apt,2,1,1,Avondale,North,84,68,77
115,5,79,Entire home/apt,8,2,2,Avondale,North,84,68,77
40,5,3,Private room,2,1,1,Avondale,North,84,68,77
72,5,4,Entire home/apt,3,1,5,Avondale,North,84,68,77
69,4.5,27,Private room,2,1,NA,Avondale,North,84,68,77
55,4.5,52,Private room,2,1,1,Avondale,North,84,68,77
85,5,7,Entire home/apt,2,1,2,Avondale,North,84,68,77
75,5,12,Entire home/apt,4,2,NA,Avondale,North,84,68,77
499,5,6,Entire home/apt,16,9,2,Avondale,North,84,68,77
55,5,66,Private room,4,1,1,Avondale,North,84,68,77
75,5,26,Private room,3,1,1,Avondale,North,84,68,77
139,5,4,Entire home/apt,8,3,2,Avondale,North,84,68,77
65,5,22,Private room,3,1,NA,Avondale,North,84,68,77
150,5,8,Entire home/apt,6,3,1,Avondale,North,84,68,77
35,5,7,Shared room,1,1,1,Avondale,North,84,68,77
