Rk,Player,PTS,Date,Age,Team,...7,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,GmSc,BPM,Pos.
1,LeBron James,61,3/3/14,29-063,MIA,NA,CHA,W 124-107,1,41,22,33,0.667,14,23,0.609,8,10,0.8,9,12,0.75,0.797,3,4,7,4,0,0,2,2,48.8,23,F-G
2,LeBron James,57,11/3/17,32-308,CLE,@,WAS,W 130-122,1,43,23,34,0.676,21,30,0.7,2,4,0.5,9,9,1,0.751,5,6,11,7,3,2,3,2,53.2,20.1,F-G
3,LeBron James,56,3/20/05,20-080,CLE,@,TOR,L 98-105,1,48,18,36,0.5,12,24,0.5,6,12,0.5,14,15,0.933,0.657,2,8,10,5,2,0,4,0,42.9,21.1,F-G
4,LeBron James,56,3/5/22,37-065,LAL,NA,GSW,W 124-116,1,39,19,31,0.613,13,20,0.65,6,11,0.545,12,13,0.923,0.763,2,8,10,3,0,1,4,0,44.1,16.5,F-G
5,LeBron James,55,2/20/09,24-052,CLE,@,MIL,W 111-103,1,40,16,29,0.552,8,18,0.444,8,11,0.727,15,22,0.682,0.711,1,4,5,9,0,0,6,3,39.3,20.8,F-G
6,LeBron James,52,12/10/05,20-345,CLE,@,MIL,L 106-111,1,43,19,29,0.655,14,20,0.7,5,9,0.556,9,10,0.9,0.778,0,7,7,7,2,0,3,5,42.9,19.9,F-G
7,LeBron James,52,2/4/09,24-036,CLE,@,NYK,W 107-102,1,44,17,33,0.515,15,26,0.577,2,7,0.286,16,19,0.842,0.629,0,9,9,11,0,2,3,1,42.9,19.3,F-G
8,LeBron James,51,1/21/06,21-022,CLE,@,UTA,W 108-90,1,43,19,35,0.543,15,27,0.556,4,8,0.5,9,11,0.818,0.64,0,5,5,8,2,0,3,4,37.8,13.7,F-G
9,LeBron James,51,1/15/08,23-016,CLE,@,MEM,W 132-124 (OT),1,47,18,28,0.643,12,16,0.75,6,12,0.5,9,16,0.563,0.728,3,5,8,9,3,1,4,1,45,19.2,F-G
10,LeBron James,51,3/13/09,24-073,CLE,@,SAC,W 126-123 (OT),1,47,16,30,0.533,12,19,0.632,4,11,0.364,15,17,0.882,0.68,0,4,4,9,2,3,3,2,43.4,19.3,F-G
11,LeBron James,51,2/3/11,26-035,MIA,@,ORL,W 104-100,1,43,17,25,0.68,14,20,0.7,3,5,0.6,14,17,0.824,0.785,2,9,11,8,1,1,3,2,46.7,26.4,F-G
12,LeBron James,51,11/18/18,33-323,LAL,@,MIA,W 113-97,1,38,19,31,0.613,13,23,0.565,6,8,0.75,7,10,0.7,0.72,1,7,8,3,2,1,2,3,40.1,26.1,F-G
13,LeBron James,50,3/5/08,23-066,CLE,@,NYK,W 119-105,1,44,16,30,0.533,9,17,0.529,7,13,0.538,11,16,0.688,0.675,1,7,8,10,4,0,2,3,44,23.4,F-G
14,LeBron James,50,3/11/22,37-071,LAL,NA,WAS,W 122-109,1,36,18,25,0.72,12,16,0.75,6,9,0.667,8,8,1,0.877,0,7,7,6,0,1,3,3,42.5,26.6,F-G
15,LeBron James,48,12/30/09,25-000,CLE,NA,ATL,W 106-101,1,43,15,23,0.652,11,17,0.647,4,6,0.667,14,16,0.875,0.799,3,7,10,6,2,2,3,3,44.7,24.2,F-G
16,LeBron James,48,1/16/23,38-017,LAL,NA,HOU,W 140-132,1,36,16,26,0.615,11,16,0.688,5,10,0.5,11,12,0.917,0.767,1,7,8,9,0,0,0,1,44.5,20.6,F-G
17,LeBron James,47,3/12/06,21-072,CLE,@,MIA,L 92-98,1,45,11,27,0.407,10,21,0.476,1,6,0.167,24,28,0.857,0.598,2,5,7,4,0,1,5,2,31.5,14,F-G
18,LeBron James,47,4/1/06,21-092,CLE,NA,MIA,W 106-99,1,45,16,25,0.64,14,19,0.737,2,6,0.333,13,14,0.929,0.754,4,8,12,9,2,0,4,3,43.8,21.6,F-G
19,LeBron James,47,2/10/09,24-042,CLE,@,IND,L 95-96,1,41,15,21,0.714,11,14,0.786,4,7,0.571,13,14,0.929,0.865,0,7,7,4,1,1,7,1,37.1,24.6,F-G
20,LeBron James,47,2/6/10,25-038,CLE,NA,NYK,W 113-106,1,44,17,31,0.548,11,19,0.579,6,12,0.5,7,7,1,0.69,1,7,8,8,5,0,5,2,39.7,17.2,F-G
21,LeBron James,47,12/30/22,38-000,LAL,@,ATL,W 130-121,1,40,18,27,0.667,14,21,0.667,4,6,0.667,7,9,0.778,0.759,2,8,10,9,0,1,5,0,40.3,14.9,F-G
22,LeBron James,46,1/14/06,21-015,CLE,@,PHO,L 106-115,1,44,18,28,0.643,13,20,0.65,5,8,0.625,5,5,1,0.762,0,7,7,8,1,0,1,1,40.9,24.1,F-G
23,LeBron James,46,3/29/06,21-089,CLE,NA,DAL,W 107-94,1,43,16,23,0.696,12,16,0.75,4,7,0.571,10,13,0.769,0.801,0,5,5,4,3,0,2,3,39.2,26.2,F-G
24,LeBron James,46,1/25/21,36-026,LAL,@,CLE,W 115-108,1,38,19,26,0.731,12,15,0.8,7,11,0.636,1,2,0.5,0.856,0,8,8,6,2,2,3,1,41.6,29.7,F-G
25,LeBron James,46,1/24/23,38-025,LAL,NA,LAC,L 115-133,1,33,16,29,0.552,7,15,0.467,9,14,0.643,5,5,1,0.737,1,7,8,7,2,1,0,0,42.5,34.7,F-G
26,LeBron James,45,11/2/07,22-307,CLE,NA,NYK,W 110-106,1,44,13,28,0.464,10,23,0.435,3,5,0.6,16,22,0.727,0.597,3,4,7,7,3,1,3,1,36.7,14.5,F-G
27,LeBron James,45,11/21/07,22-326,CLE,@,MIN,W 97-86,1,39,17,26,0.654,11,16,0.688,6,10,0.6,5,8,0.625,0.762,2,6,8,5,3,2,3,2,39.7,30.6,F-G
28,LeBron James,44,3/28/05,20-088,CLE,@,NOH,W 109-108 (OT),1,53,16,29,0.552,13,19,0.684,3,10,0.3,9,11,0.818,0.65,2,4,6,3,4,0,10,3,26.8,3.1,F-G
29,LeBron James,44,1/29/06,21-030,CLE,NA,PHO,W 113-106,1,43,17,33,0.515,14,26,0.538,3,7,0.429,7,12,0.583,0.575,1,10,11,7,1,1,6,1,29.6,11.2,F-G
30,LeBron James,44,2/13/06,21-045,CLE,NA,SAS,W 101-87,1,41,19,33,0.576,18,30,0.6,1,3,0.333,5,8,0.625,0.602,2,1,3,5,4,0,2,0,34.5,24.4,F-G
31,LeBron James,44,12/13/09,24-348,CLE,@,OKC,W 102-89,1,39,16,29,0.552,11,21,0.524,5,8,0.625,7,10,0.7,0.659,0,7,7,6,4,1,1,1,38.5,28.8,F-G
32,LeBron James,44,1/9/11,26-010,MIA,@,POR,W 107-100 (OT),1,46,17,26,0.654,14,21,0.667,3,5,0.6,7,10,0.7,0.724,3,10,13,6,2,0,6,4,35.1,14.1,F-G
33,LeBron James,44,12/10/16,31-346,CLE,NA,CHO,W 116-105,1,42,17,24,0.708,12,14,0.857,5,10,0.5,5,9,0.556,0.787,1,8,9,10,3,1,5,3,40,19.2,F-G
34,LeBron James,44,4/6/18,33-097,CLE,@,PHI,L 130-132,1,40,17,29,0.586,13,21,0.619,4,8,0.5,6,11,0.545,0.65,1,10,11,11,2,1,8,0,34.6,10.2,F-G
35,LeBron James,44,11/14/18,33-319,LAL,NA,POR,W 126-117,1,36,13,19,0.684,8,13,0.615,5,6,0.833,13,15,0.867,0.859,2,8,10,9,1,3,4,0,44.3,27.3,F-G
36,LeBron James,43,11/24/04,19-330,CLE,NA,DET,W 92-76,1,38,15,22,0.682,13,19,0.684,2,3,0.667,11,12,0.917,0.788,3,3,6,5,3,1,3,3,39.2,31.2,F-G
37,LeBron James,43,2/15/06,21-047,CLE,@,BOS,W 113-109 (2OT),1,54,16,32,0.5,16,27,0.593,0,5,0,11,15,0.733,0.557,1,11,12,11,2,4,2,5,37.9,17.8,F-G
38,LeBron James,43,3/17/09,24-077,CLE,NA,ORL,W 97-93,1,43,15,27,0.556,11,20,0.55,4,7,0.571,9,10,0.9,0.685,2,10,12,8,4,1,6,1,38,23.8,F-G
39,LeBron James,43,12/8/09,24-343,CLE,@,MEM,L 109-111 (OT),1,45,14,29,0.483,10,18,0.556,4,11,0.364,11,12,0.917,0.627,4,9,13,6,0,1,5,2,32.5,14.5,F-G
40,LeBron James,43,2/18/10,25-050,CLE,NA,DEN,L 116-118 (OT),1,47,15,33,0.455,14,24,0.583,1,9,0.111,12,17,0.706,0.531,1,12,13,15,2,4,3,1,40.1,19.1,F-G
41,LeBron James,43,3/18/11,26-078,MIA,@,ATL,W 106-85,1,31,16,21,0.762,11,14,0.786,5,7,0.714,6,7,0.857,0.893,0,2,2,3,0,0,4,2,32.2,23.2,F-G
42,LeBron James,43,3/18/14,29-078,MIA,@,CLE,W 100-96,1,42,14,19,0.737,8,11,0.727,6,8,0.75,9,13,0.692,0.87,0,6,6,4,2,3,0,1,42,27.1,F-G
43,LeBron James,43,12/31/21,37-001,LAL,NA,POR,W 139-106,1,29,16,26,0.615,11,16,0.688,5,10,0.5,6,9,0.667,0.718,2,12,14,4,2,2,0,1,40.8,23,F-G
44,LeBron James,43,1/2/23,38-003,LAL,@,CHO,W 121-115,1,40,16,26,0.615,16,21,0.762,0,5,0,11,15,0.733,0.66,0,11,11,6,1,0,3,1,34.7,10,F-G
